beta,kT,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,endl
 0.1171737,  8.5343382,  11060.502,  8705.5702, -4544.9787,  15221.094, -201.43465, 0.00021104156,          0, 0.00027527546, 0.00048233505, 0.00060336115, 0.00065472165, 0.00060336115, 0.00048233505, 0.00027527546, 
 0.1274075,  7.8488312,  10172.085,   9015.968, -4521.4076,  14666.646,  353.27786, 0.00022280952,          0, 0.00028509043, 0.00050433084, 0.00064879867, 0.00068851246, 0.00064879867, 0.00050433084, 0.00028509043, 
0.12404622,  8.0615112,  10447.718,  9040.7178, -4405.3265,   15083.11, -62.771426, 0.00021205889,          0, 0.00028587303, 0.0004943149, 0.00060259522, 0.00062737595, 0.00060259522, 0.0004943149, 0.00028587303, 
0.12789848,   7.818701,  10133.036,  9547.4687, -4410.9459,  15269.559, -249.27987, 0.00022170773,          0, 0.0003018968, 0.00050557197, 0.00063198272, 0.00066842075, 0.00063198272, 0.00050557197, 0.0003018968, 
0.12128874,  8.2447887,  10685.246,  9054.8221,  -4515.489,  15224.579, -203.50975, 0.00021572044,          0, 0.00028631902, 0.00049330884, 0.00061718085, 0.00065790956, 0.00061718085, 0.00049330884, 0.00028631902, 
 0.1274029,   7.849115,  10172.453,  9309.2001,   -4600.29,  14881.363,  139.72687, 0.00021038297,          0, 0.0002943626, 0.00048522908, 0.00058826735, 0.00063040945, 0.00058826735, 0.00048522908, 0.0002943626, 
 0.1253814,  7.9756649,  10336.462,  9085.2429, -4565.5746,   14856.13,  165.24139, 0.00020778388,          0, 0.00028728094, 0.00047650783, 0.00058535508, 0.00062625441, 0.00058535508, 0.00047650783, 0.00028728094, 
0.11320683,   8.833389,  11448.072,  9428.5518, -4523.4699,  16353.154, -1331.4106, 0.00022985316,          0, 0.00029813658, 0.00052786455, 0.0006581671, 0.00070931414, 0.0006581671, 0.00052786455, 0.00029813658, 
0.12315765,  8.1196745,  10523.098,  8844.1541, -4551.7812,  14815.471,  205.13567, 0.00020919588,          0, 0.00027965757, 0.00047407212, 0.00060239324, 0.0006348883, 0.00060239324, 0.00047407212, 0.00027965757, 
0.12635955,   7.913925,  10256.447,  9209.0785, -4564.9377,  14900.588,  119.92227, 0.00022142472,          0, 0.0002911967, 0.00050419781, 0.00063685762, 0.00067829127, 0.00063685762, 0.00050419781, 0.0002911967, 
0.12702361,   7.872552,  10202.827,  8953.0865, -4527.2442,   14628.67,  390.88953, 0.00021125868,          0, 0.00028310208, 0.00047745647, 0.00060403511, 0.0006509515, 0.00060403511, 0.00047745647, 0.00028310208, 
 0.1254359,  7.9721994,   10331.97,  9405.8894, -4469.4781,  15268.382, -248.06573, 0.00022997277,          0, 0.00029741998, 0.00052780502, 0.00066400605, 0.00070110217, 0.00066400605, 0.00052780502, 0.00029741998, 
0.12209657,  8.1902386,  10614.549,  9012.4349, -4477.5195,  15149.465, -129.41068, 0.00020901518,          0, 0.00028497871, 0.00047057727, 0.00059831444, 0.00063650199, 0.00059831444, 0.00047057727, 0.00028497871, 
