xb0,yb0,zb0,
0.69344404, 0.94880395,  1.6451463, 
-1.0417439, -0.19084135, -1.1905822, 
-1.0580791, 0.28743351,  2.3043687, 
 2.1504348, -1.3310532,  2.3903222, 
0.97322227, -1.6375252, 0.34866017, 
-0.48271014,   1.005734,  1.1637086, 
0.26755134, -0.11675581, -1.1199336, 
0.81850476,  1.8983503,  2.5041149, 
0.73915592, -0.12107215, -2.3905944, 
-1.8617676, -1.7087144,  2.5218867, 
-0.57852443, -1.0505893,  -1.476099, 
  -1.79321, 0.079331782,  -2.155027, 
 1.0274903,  1.0998516, -0.76290109, 
 2.5417796, -1.7557732, -1.8672084, 
0.49035404,  1.0596518,  0.4496274, 
-1.0191814, -2.2262268, 0.49706037, 
-2.0936773, -2.1490163, 0.47922132, 
0.75913205, -0.98626845, -1.4874372, 
0.55585444, -0.73943155, 0.39608723, 
 1.7509637, 0.84022496,  1.8061704, 
-1.4118477, -1.3743029, -0.22830849, 
 1.5449329, -1.0702236, -0.26515353, 
0.77266809,  1.7703108, -1.5471826, 
0.27681674, 0.15048354,  1.2023941, 
-0.3301289, -0.14121799, -2.1323969, 
-0.86426826, -2.5044218,  -1.840338, 
0.27586142, -2.2827781,  1.8540025, 
-0.77983532,  2.0388352,  1.2705138, 
-1.4841764,  1.0596062, 0.96317118, 
  1.821234, -0.89716631, 0.89672633, 
 2.4026521, -1.5009028, -0.79561355, 
-1.5816005,  1.9959858, 0.64386009, 
 2.2908823, 0.25834199, -2.2942437, 
-1.9783262,  -2.355414, -1.1524263, 
   2.42413, 0.42526905,  0.9436116, 
-0.0074887411,  2.4305115, -2.2535919, 
-1.1210743,  1.4450303,  2.1427441, 
  2.270576,  2.3900354,  1.0160869, 
 2.0259156, -0.22367859, 0.072662138, 
-0.56042992, -0.5015866, -0.34830165, 
-2.3547213, -0.70406771,  1.9914238, 
 2.2139595,  1.5062624,  2.3684574, 
-0.60035063, -1.8204804,    1.42513, 
-0.18750605,  -2.453577, -0.68758618, 
0.39640411,  1.8864774,  1.3931836, 
0.31203816, -1.1472838, -2.4596857, 
0.21655474, -1.8840986, -1.6165935, 
0.96686168, -1.9335616, -2.4221343, 
-0.67280484, -1.7151425, -2.5463078, 
0.87152715, -2.3040903, -0.66192177, 
-1.9634364, -0.84446091, -0.91601626, 
0.55163809,  1.8436207, -0.27707983, 
-1.6610421, -2.4855961,  1.4950392, 
-0.43299547, -1.4633726, -0.01086089, 
-0.054417888, -0.3761478,  2.0596241, 
0.17352733, -2.5402058, 0.61603969, 
 2.2559355, 0.74061619, -0.57618825, 
 -1.633079, 0.91439775, -0.17200741, 
-1.3250637,  2.2182871, -0.45122376, 
-0.84176246, 0.86580604, -0.90660944, 
 1.2181045, -0.098840348, 0.84531485, 
0.26109101, 0.82213816, -1.6564351, 
-1.5504949, -1.3855842,  1.5695311, 
 -1.901642, -0.20271329,  1.0796418, 
 1.9082132, -2.0728398, 0.28315322, 
 1.4697179, -1.7037372, -1.3098302, 
-1.6599773, -0.10023201, -0.19834533, 
-2.1177617, -1.0608101, 0.32172699, 
0.91255259, 0.065158699, -0.31631005, 
-2.5405672, -1.6592941,  1.2950545, 
 2.0675832, -0.41482886, -0.9304598, 
 2.0056236, -0.15284132,  1.7671878, 
-1.8113192,  1.0988691, -2.1820729, 
-0.46344148,  1.9308863, 0.20061786, 
 1.9734525,  2.5640014, -1.2991431, 
 1.3085924, 0.13741977, -1.4046336, 
-0.87362726, 0.17267458, 0.72627458, 
 1.9800959,  1.4325017, -1.6188706, 
 1.7355685, -0.64570633, -1.9201239, 
-2.0676952,  1.7637339,  2.0269959, 
 2.4206212, -2.4281047,    2.05521, 
-0.20815161,   1.745674, -1.4516285, 
-1.3336833, -0.75155391,  2.3301294, 
0.50956013, -1.2750309, -0.62455849, 
-0.73191475, 0.86804039, -1.9839523, 
 1.4925879, 0.94488788, -2.3977654, 
-1.1221788,  2.4617272,  2.2339764, 
 1.8465474,   1.789976, -0.67094622, 
-1.4775964, -1.2550012, -1.8345803, 
 1.5150724,  0.8121466, 0.29297237, 
-0.33800537,  0.7437916, -0.055930807, 
-1.9639165,  2.2989998, -2.3209777, 
 1.4496676,  1.9362537,  1.5911011, 
-2.4018058, -0.77661823, -2.0318853, 
 1.3132401, -2.0350443,  1.4681064, 
-2.4681076,  2.3371217, -0.28313069, 
-2.2904519,  0.2294388, -1.2566843, 
-2.5568907,  1.4704523, 0.20288318, 
-0.93815085, -1.9263787, -1.0350704, 
-2.1391272, 0.63295325,  1.9785373, 
0.99269451, -0.8456316,  1.6987256, 
 1.2327184,  2.2564353, 0.44249932, 
-1.2114443,  1.7243697, -1.6959045, 
-2.0453475,  1.5849845, -0.92868535, 
-0.10617043,  1.3763096,  2.1966951, 
