KE,PE,Etot
155.063151619, -552.54803783, -397.484886211
157.574833378, -555.01659742, -397.441764042
160.727914678, -558.368351274, -397.640436596
161.438206812, -559.297941677, -397.859734865
161.462242676, -559.277712774, -397.815470098
161.117095156, -558.923887089, -397.806791933
157.236298778, -555.189200901, -397.952902123
158.242789327, -556.128475724, -397.885686398
161.055938258, -558.865219403, -397.809281144
157.452862328, -555.197188946, -397.744326618
156.545419039, -554.377944626, -397.832525586
156.942085785, -554.716717155, -397.77463137
157.045932904, -554.813052692, -397.767119788
157.969236289, -555.553975919, -397.58473963
158.905325644, -556.586434779, -397.681109135
161.086188203, -558.775218142, -397.689029938
165.803164886, -563.503196225, -397.700031338
161.879324675, -559.731486945, -397.85216227
160.516614473, -558.357417306, -397.840802833
163.830234304, -561.946775932, -398.116541628
161.380186195, -559.421774555, -398.041588359
164.413193595, -562.352998957, -397.939805362
159.380476416, -557.277663787, -397.897187371
163.472405499, -561.444505064, -397.972099565
168.21374292, -566.163719329, -397.949976409
166.022185847, -564.007090786, -397.984904939
160.845084403, -558.690943795, -397.845859392
150.909903668, -548.726296916, -397.816393248
147.11857417, -545.016089285, -397.897515115
147.77926187, -545.57210836, -397.79284649
159.936633739, -557.933381145, -397.996747406
156.054137844, -553.959233133, -397.905095289
162.702451134, -560.595154701, -397.892703567
167.423020865, -565.267351632, -397.844330768
159.821593645, -557.66002468, -397.838431035
159.155169318, -556.922248161, -397.767078844
157.059350906, -554.641002691, -397.581651784
157.994180337, -555.715440843, -397.721260506
154.070127316, -551.552180384, -397.482053068
146.064778576, -543.650785644, -397.586007068
152.665320054, -550.403828414, -397.738508361
163.790541433, -561.518188509, -397.727647075
170.743754768, -568.192494448, -397.44873968
165.00851685, -562.572439117, -397.563922267
162.264183815, -559.875220653, -397.611036837
159.512790142, -557.136903964, -397.624113822
159.430674831, -556.835862239, -397.405187409
170.046498096, -567.506079797, -397.4595817
172.553698984, -569.852185422, -397.298486439
169.728961836, -567.201349782, -397.472387946
157.201958791, -554.771226464, -397.569267673
149.126343746, -546.627268115, -397.500924369
157.062831048, -554.56893051, -397.506099462
157.799917874, -555.185642647, -397.385724773
158.859353394, -556.234180211, -397.374826817
160.627597375, -558.03557029, -397.407972915
166.812706764, -564.378112179, -397.565405415
159.40184366, -557.013774576, -397.611930917
149.260754445, -546.81938559, -397.558631144
151.194327887, -548.848664888, -397.654337001
153.582347148, -551.277908877, -397.695561728
154.587479557, -552.143279665, -397.555800108
155.103369878, -552.601659803, -397.498289925
156.282472098, -553.897664117, -397.615192019
153.81077382, -551.383981042, -397.573207222
149.451981443, -546.908177007, -397.456195564
149.902201553, -547.390308358, -397.488106805
151.319919952, -549.048578311, -397.728658359
151.777077112, -549.478768862, -397.701691751
159.57504235, -557.204023613, -397.628981262
161.801602619, -559.527032919, -397.7254303
162.786647284, -560.617674816, -397.831027533
165.656679679, -563.513448297, -397.856768618
158.785391501, -556.697105199, -397.911713698
159.71662628, -557.642851983, -397.926225702
166.632846588, -564.609605924, -397.976759336
167.261906294, -564.922493897, -397.660587603
167.696225841, -565.249598653, -397.553372812
162.275207767, -559.708181766, -397.432973999
150.536380347, -547.969940587, -397.43356024
149.841070796, -547.531816726, -397.69074593
155.342996281, -553.265209421, -397.92221314
154.761714002, -552.630378508, -397.868664506
146.124349745, -543.810900988, -397.686551243
146.758693267, -544.29887202, -397.540178753
151.26013937, -548.912265851, -397.652126481
155.922533356, -553.484422148, -397.561888791
155.143645088, -552.841231503, -397.697586415
150.777814044, -548.648467637, -397.870653594
142.532038861, -540.308300951, -397.77626209
140.315488481, -538.106610155, -397.791121675
137.007383241, -534.636822393, -397.629439153
149.83227102, -547.434890687, -397.602619667
159.833753444, -557.525150981, -397.691397536
160.13092328, -557.729056261, -397.598132981
173.075352913, -570.735089581, -397.659736669
178.72229627, -576.23963606, -397.51733979
172.069759115, -569.640818853, -397.571059738
162.354102792, -560.009669709, -397.655566917
157.628898104, -555.400954699, -397.772056596
166.284464671, -564.043090724, -397.758626053
169.031150897, -566.927808332, -397.896657435
164.948057367, -562.851114211, -397.903056845
167.231442974, -565.095939395, -397.864496421
171.869680012, -569.585853243, -397.716173231
167.028352429, -564.844310308, -397.81595788
152.388018312, -550.117364843, -397.72934653
150.282605643, -548.031472573, -397.74886693
155.816833755, -553.827856513, -398.011022758
155.015887452, -553.094208219, -398.078320767
153.453291123, -551.529506711, -398.076215588
165.559238071, -563.388040556, -397.828802485
169.757036518, -567.703254495, -397.946217976
158.866787289, -556.985582608, -398.118795318
146.365261256, -544.49459184, -398.129330584
139.142757632, -537.185666705, -398.042909073
146.06982025, -543.981370494, -397.911550244
155.540443999, -553.413565547, -397.873121548
156.058161126, -553.811775354, -397.753614228
156.61690203, -554.395527988, -397.778625959
158.708478476, -556.37538745, -397.666908974
151.87886747, -549.654568629, -397.775701159
166.23930124, -564.102647239, -397.863345999
173.166649829, -571.008014058, -397.84136423
168.731427689, -566.49408635, -397.762658661
162.373995344, -560.143384238, -397.769388894
155.304693761, -553.095741011, -397.79104725
157.300966296, -554.917831699, -397.616865404
167.416619119, -565.126621395, -397.710002276
160.992738802, -558.889740638, -397.897001836
148.070172855, -545.888925151, -397.818752296
149.599608831, -547.351107665, -397.751498834
157.912046267, -555.479509108, -397.567462841
154.416594243, -551.955194825, -397.538600582
154.301690717, -552.037591193, -397.735900475
161.802388422, -559.564555753, -397.762167331
169.650962452, -567.423752896, -397.772790444
166.477534425, -564.014348047, -397.536813621
164.776246716, -562.405628179, -397.629381462
161.199892277, -558.745835405, -397.545943128
167.684222509, -565.219108767, -397.534886258
169.584377115, -567.139339555, -397.55496244
167.820732465, -565.422840127, -397.602107662
168.718535592, -566.400329181, -397.681793589
164.587252337, -562.281371725, -397.694119388
155.807191156, -553.438824408, -397.631633251
155.911632902, -553.574624599, -397.662991696
171.283147911, -569.031974354, -397.748826443
167.517405647, -564.874360981, -397.356955334
159.976819311, -557.463385268, -397.486565957
164.365082347, -562.07376283, -397.708680483
166.027482536, -563.82139453, -397.793911994
160.179306266, -558.1217473, -397.942441034
155.756767566, -553.737139003, -397.980371437
157.298720682, -555.067624666, -397.768903983
154.320021209, -552.419503821, -398.099482612
154.861776406, -552.848956801, -397.987180395
157.063426636, -554.881129939, -397.817703303
156.192881557, -553.999640706, -397.806759149
160.625884605, -558.537843966, -397.911959361
157.975806371, -555.872094788, -397.896288417
153.907454499, -551.712798262, -397.805343763
159.61311631, -557.399930077, -397.786813767
174.825895925, -572.697557739, -397.871661814
175.730241109, -573.556782394, -397.826541285
151.76801427, -549.604628283, -397.836614013
142.284949165, -540.141093868, -397.856144703
144.044806508, -542.166367314, -398.121560806
149.539480272, -547.626100678, -398.086620406
160.667991712, -558.534590497, -397.866598786
168.729009276, -566.559437377, -397.830428101
163.313588712, -561.095302311, -397.781713599
155.118928948, -552.883294068, -397.76436512
151.231322702, -549.008945885, -397.777623184
153.947120566, -551.694574168, -397.747453602
151.69892905, -549.434644409, -397.735715359
151.042297099, -548.888806162, -397.846509064
159.045956319, -557.018191876, -397.972235557
171.302922231, -569.355665725, -398.052743494
174.273960232, -572.378271166, -398.104310934
174.199512941, -572.355502141, -398.155989201
173.096255672, -570.894018402, -397.79776273
152.487238524, -550.255211671, -397.767973147
135.819915872, -533.641873568, -397.821957696
145.341939122, -543.099487407, -397.757548286
157.114387012, -555.056220904, -397.941833892
159.977443896, -557.700612522, -397.723168626
152.028440207, -549.635246681, -397.606806474
152.359735498, -549.873720941, -397.513985444
158.592769124, -556.265357746, -397.672588622
161.487427325, -559.092091366, -397.604664041
159.185936019, -556.880562182, -397.694626163
158.902613045, -556.435767169, -397.533154123
158.05956078, -555.787024024, -397.727463244
156.666754703, -554.294776692, -397.628021988
154.343029929, -551.957879422, -397.614849494
154.458271211, -551.996528613, -397.538257402
161.581306872, -559.26700005, -397.685693177
165.976931066, -563.452791828, -397.475860762
166.180849327, -563.514628175, -397.333778848
162.908720316, -560.257137236, -397.34841692
157.121900643, -554.665010377, -397.543109734
152.165656426, -549.80784974, -397.642193313
149.299822971, -547.035040295, -397.735217325
155.614383362, -553.215429907, -397.601046545
161.670091078, -559.130071245, -397.459980166
154.703609032, -552.163282947, -397.459673916
149.86419431, -547.224206785, -397.360012476
153.641953665, -551.099394428, -397.457440763
160.786096239, -558.350526697, -397.564430458
158.215738221, -555.861347177, -397.645608956
148.630941984, -546.1697481, -397.538806116
145.368629316, -542.943969439, -397.575340123
145.05458332, -542.474841619, -397.420258299
143.935108293, -541.504469645, -397.569361352
142.151261892, -539.725331986, -397.574070094
156.23249763, -553.825013431, -397.592515801
157.759032269, -555.22343427, -397.464402
146.614057647, -544.180092403, -397.566034756
147.874238769, -545.36310254, -397.488863771
153.063630236, -550.575720316, -397.512090079
151.898967236, -549.385950795, -397.486983559
157.24045885, -554.639395734, -397.398936884
159.047536551, -556.584129088, -397.536592537
